//farm_num server_num task_num rej_rate time_cost energy_cost
10 100 1000 0.001 0.063 113723.98 
10 100 2000 0.025 0.16 346669.491 
10 100 3000 0.031 0.212 1176545.503 
10 100 4000 0.063 0.302 2336210.256 
10 100 5000 0.057 0.348 4431672.486 
10 200 1000 0.003 0.1 197221.237 
10 200 2000 0.03 0.209 430021.962 
10 200 3000 0.037 0.332 745182.454 
10 200 4000 0.06 0.423 1111914.773 
10 200 5000 0.109 0.526 1483400.603 
10 300 1000 0.015 0.142 267874.017 
10 300 2000 0.055 0.289 578352.589 
10 300 3000 0.068 0.432 919330.754 
10 300 4000 0.095 0.56 1245825.036 
10 300 5000 0.11 0.701 1593450.989 
