//farm_num server_num task_num rej_rate time_cost energy_cost
10 100 1000 0.004 0.092 121005.934 
10 100 2000 0.017 0.221 390185.455 
10 100 3000 0.021 0.373 1438559.306 
10 100 4000 0.041 0.535 2912472.629 
10 100 5000 0.044 0.789 6039554.354 

10 200 1000 0.005 0.168 215837.77 
10 200 2000 0.017 0.299 460853.533 
10 200 3000 0.031 0.485 794133.319 
10 200 4000 0.039 0.65 1296745.163 
10 200 5000 0.052 1.061 2093059.33 

10 300 1000 0.008 0.191 311788.889 
10 300 2000 0.027 0.401 644154.693 
10 300 3000 0.024 0.637 1023424.169 
10 300 4000 0.043 0.829 1400922.802 
10 300 5000 0.054 1.088 1813567.187 

